gene_id,pd,r,p.value,qvalue,delta_RPP,contrast,gene_name,gene_biotype
ENSG00000100154,0.149416461916462,0.168946425685989,0.391880062904258,0.742953828968273,0.0982289107289107,Fip1 v.s. NC,TTC28,protein_coding
ENSG00000100162,0.109208560090691,-0.145569572525446,0.291952198965345,0.380759502561896,-0.109208560090691,Fip1 v.s. NC,CENPM,protein_coding
ENSG00000100196,0.356346878168912,-0.244760448806901,7.41056350200308e-10,2.19160800618567e-11,-0.256481783282631,Fip1 v.s. NC,KDELR3,protein_coding
ENSG00000100201,0.00649042323091372,-0.0352190565946908,0.215217439877492,0.234284345250475,-0.00649042323091364,Fip1 v.s. NC,DDX17,protein_coding
ENSG00000100209,0.129189189189189,-0.12153384591825,0.440619009864057,0.892362790930759,-0.109004897833331,Fip1 v.s. NC,HSCB,protein_coding
ENSG00000100216,0.0281885622410447,-0.0036018635610804,0.0795270144426675,0.089210950306769,-0.00418741071816864,Fip1 v.s. NC,TOMM22,protein_coding
ENSG00000100219,0.00651994398324535,-0.0140090881771765,0.870539999704977,1,-0.00651994398324529,Fip1 v.s. NC,XBP1,protein_coding
ENSG00000100221,0.0451327810788925,0.071539591928123,0.346339714629928,0.515501938353453,0.0451327810788925,Fip1 v.s. NC,JOSD1,protein_coding
ENSG00000100226,0.157303930898841,0.16886894647138,0.2975598822333,0.373285312178796,0.157303930898841,Fip1 v.s. NC,GTPBP1,protein_coding
ENSG00000100234,0.106832145536821,0.103590672599325,0.122558477033337,0.106541466456425,0.0893050230180479,Fip1 v.s. NC,TIMP3,protein_coding
ENSG00000100239,0.13551211035082,0.143159228809585,0.428643793141634,0.726491404948498,0.13551211035082,Fip1 v.s. NC,PPP6R2,protein_coding
ENSG00000100280,0.0671187619544427,0.0311352889334393,0.429389891839269,0.999582434332636,0.0226055440263697,Fip1 v.s. NC,AP1B1,protein_coding
ENSG00000100281,0.0752326406858712,-0.158477663980014,0.125373198957471,0.103631317803485,-0.0752326406858711,Fip1 v.s. NC,HMGXB4,protein_coding
ENSG00000100296,0.0294797878637138,0.0383709832022029,0.667045607399339,0.974592881532288,0.0294797878637138,Fip1 v.s. NC,THOC5,protein_coding
ENSG00000100297,0.00686188974566303,0.0246096342984022,0.542302266786288,0.824069640167875,0.00686188974566302,Fip1 v.s. NC,MCM5,protein_coding
ENSG00000100316,0.000710580175759262,-0.00359523534393264,0.526886301043669,0.756655908630078,-0.000276558694741302,Fip1 v.s. NC,RPL3,protein_coding
ENSG00000100330,0.157513348588863,-0.227791170161993,0.0447211435006559,0.0152629248585014,-0.157513348588864,Fip1 v.s. NC,MTMR3,protein_coding
ENSG00000100335,0.153703410410727,0.130466758288864,0.158590796325476,0.0944848316466164,0.110980449090205,Fip1 v.s. NC,MIEF1,protein_coding
ENSG00000100344,0.129960317460317,0.0882984349203585,0.488107935946432,0.995529813733385,0.103474529346622,Fip1 v.s. NC,PNPLA3,protein_coding
ENSG00000100345,0.151637491302561,-0.137044516338663,0.00402869457620909,0.0182461175476228,-0.140229332053092,Fip1 v.s. NC,MYH9,protein_coding
ENSG00000100348,0.0731136613579034,0.103673442209379,0.000367672430458988,9.98217201727794e-05,0.0731136613579033,Fip1 v.s. NC,TXN2,protein_coding
ENSG00000100350,0.0260596592274716,0.0398700119109281,0.576440844811445,0.813371973714915,0.0260596592274716,Fip1 v.s. NC,FOXRED2,protein_coding
ENSG00000100354,0.0535117056856187,0.0255834625692505,0.673982700150349,0.991822924450352,0.0206213402371138,Fip1 v.s. NC,TNRC6B,protein_coding
ENSG00000100364,0.0710783096376317,0.0248164085530719,0.461417264289791,0.819288946882132,0.0350479087767224,Fip1 v.s. NC,KIAA0930,protein_coding
ENSG00000100372,0.128985507246377,0.008191145746911,0.478638492624758,0.992122921706366,0.00362318840579712,Fip1 v.s. NC,SLC25A17,protein_coding
ENSG00000100380,0.0350140998502008,0.00811000765557878,0.0787578376466128,0.397407818780702,-0.00145134822061083,Fip1 v.s. NC,ST13,protein_coding
ENSG00000100387,0.00598190980636494,-0.0218467259643705,0.419149961609875,0.720220229310018,-0.00598190980636493,Fip1 v.s. NC,RBX1,protein_coding
ENSG00000100393,0.0722800483829896,-0.137097388505917,0.092029686998317,0.025894434257333,-0.0722800483829895,Fip1 v.s. NC,EP300,protein_coding
ENSG00000100401,0.0231975346269769,-0.0496313238706833,0.431760586211704,0.807337459617081,-0.0208459518850596,Fip1 v.s. NC,RANGAP1,protein_coding
ENSG00000100412,0.033513292344841,-0.0177403086185425,0.502845362928308,0.977035735931972,0.0022157285589961,Fip1 v.s. NC,ACO2,protein_coding
ENSG00000100413,0.0362840862840863,0.0608970344211941,0.480806785226445,0.767022228020454,0.0362840862840863,Fip1 v.s. NC,POLR3H,protein_coding
ENSG00000100416,0.118806170565365,-0.124160736334458,0.131769962794452,0.17456137335358,-0.118806170565365,Fip1 v.s. NC,TRMU,protein_coding
ENSG00000100418,0.0524277141298418,0.0556493256772003,0.434049818916701,0.816785932592188,0.0524277141298417,Fip1 v.s. NC,DESI1,protein_coding
ENSG00000128191,0.048728813559322,-0.0437780720719364,0.638200953026788,1,-0.0360527572212938,Fip1 v.s. NC,DGCR8,protein_coding
ENSG00000128294,0.128342245989305,0.0754512409041045,0.703940419604643,1,0.0769068392907403,Fip1 v.s. NC,TPST2,protein_coding
ENSG00000128335,0.171070235513211,0.203112049338051,0.00198892157519336,0.000343991188244201,0.171070235513211,Fip1 v.s. NC,APOL2,protein_coding
ENSG00000128408,0.301669552745273,0.319765096764003,0.00240913845598361,0.000161253140053663,0.301669552745273,Fip1 v.s. NC,RIBC2,protein_coding
ENSG00000131100,0.0291507326862087,-0.0495567869903947,0.0925681469665687,0.171111616731916,-0.0291507326862086,Fip1 v.s. NC,ATP6V1E1,protein_coding
ENSG00000133422,0.0254092120289303,-0.0251096142877253,0.835675334264574,1,-0.0213971533553844,Fip1 v.s. NC,MORC2,protein_coding
ENSG00000133460,0.0526315789473684,0.00430114412162167,0.896868927830939,0.995045832506194,0.00639619883040937,Fip1 v.s. NC,SLC2A11,protein_coding
ENSG00000159958,0.335606060606061,0.303399794672835,0.101568580512753,0.0473416309580022,0.335606060606061,Fip1 v.s. NC,TNFRSF13C,protein_coding
ENSG00000167037,0.104676573426573,0.10053522949882,0.740687540397797,0.961052660990965,0.104676573426573,Fip1 v.s. NC,SGSM1,protein_coding
